ObjetId,Descriptif,DATE,NOTATEUR,NMASSIF,NUM_PLAC,ETAT_SAN,G,REC_SUP2,REC_LIGN,DIST_MAX,R_MAX,Coupe2020,REMARQUE,MORTAL01,MRAMIF01,VISIH_01,MORTAL02,MRAMIF02,VISIH_02,MORTAL03,MRAMIF03,VISIH_03,MORTAL04,MRAMIF04,VISIH_04,MORTAL05,MRAMIF05,VISIH_05,MORTAL06,MRAMIF06,VISIH_06,MORTAL07,MRAMIF07,VISIH_07,MORTAL08,MRAMIF08,VISIH_08,MORTAL09,MRAMIF09,VISIH_09,MORTAL10,MRAMIF10,VISIH_10,MORTAL11,MRAMIF11,VISIH_11,MORTAL12,MRAMIF12,VISIH_12,MORTAL13,MRAMIF13,VISIH_13,MORTAL14,MRAMIF14,VISIH_14,MORTAL15,MRAMIF15,VISIH_15,MORTAL16,MRAMIF16,VISIH_16,MORTAL17,MRAMIF17,VISIH_17,MORTAL18,MRAMIF18,VISIH_18,MORTAL19,MRAMIF19,VISIH_19,MORTAL20,MRAMIF20,VISIH_20,geometry,filename,uuid,CCOD_FRT,CCOD_UG,CCOD_PRF,A,B,C,D,E,F,prop_EF,prop_DEF,etat_sanit
322.0,20220624_41_RELEVE,24-06-2022,jpdh,MOMO,36.0,1: 20 -50 %,28,5,5,23.0,40,NON,,3.0,3.0,F,1.0,1.0,T,5.0,5.0,F,2.0,2.0,T,4.0,4.0,F,0.0,2.0,F,5.0,5.0,F,1.0,1.0,F,0.0,1.0,T,0.0,1.0,F,5.0,5.0,F,0.0,0.0,F,0.0,0.0,F,0.0,0.0,F,1.0,0.0,F,1.0,2.0,F,2.0,2.0,F,2.0,2.0,F,0.0,0.0,F,1.0,1.0,F,POINT (646214.2480687668 6883064.823759013),DSF_CHT_01_2022_02_DH_shp.zip,0x1567fee98951b046,MOMO,u,15,4,6,2,3,1,4,0.25,0.4,1
323.0,20220624_41_RELEVE,24-06-2022,jpdh,MOMO,998.0,0: 0 - 20 %,33,4,5,12.0,40,NON,,0.0,2.0,F,0.0,1.0,F,2.0,2.0,F,1.0,2.0,F,1.0,2.0,F,2.0,2.0,F,1.0,2.0,F,2.0,2.0,F,0.0,1.0,T,0.0,2.0,F,0.0,2.0,F,1.0,3.0,F,0.0,0.0,F,5.0,5.0,F,1.0,1.0,F,0.0,1.0,F,1.0,3.0,F,0.0,1.0,T,0.0,2.0,F,1.0,2.0,F,POINT (646442.9997806478 6882976.465694734),DSF_CHT_01_2022_02_DH_shp.zip,0x11d009fe35fd7acb,MOMO,u,15,1,5,8,5,0,1,0.05,0.3,0
324.0,20220624_41_RELEVE,24-06-2022,jpdh,MOMO,999.0,1: 20 -50 %,26,5,5,17.0,20,NON,,2.0,2.0,T,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,3.0,3.0,F,5.0,5.0,F,0.0,2.0,T,2.0,1.0,F,0.0,0.0,F,4.0,2.0,F,4.0,2.0,F,0.0,0.0,T,2.0,1.0,F,0.0,0.0,F,1.0,3.0,F,0.0,0.0,F,0.0,0.0,F,5.0,5.0,F,4.0,3.0,F,4.0,3.0,F,POINT (646044.5561160737 6883373.088180141),DSF_CHT_01_2022_02_DH_shp.zip,0x19336fa8b6882f98,MOMO,u,8,5,0,3,2,3,7,0.5,0.6,2
325.0,20220624_41_RELEVE,24-06-2022,jpdh,MOMO,910.0,0: 0 - 20 %,37,5,5,11.0,20,NON,,0.0,0.0,T,0.0,0.0,F,0.0,0.0,T,0.0,1.0,T,0.0,1.0,F,0.0,0.0,F,0.0,2.0,F,1.0,2.0,F,1.0,1.0,F,0.0,0.0,F,0.0,0.0,T,1.0,2.0,F,2.0,1.0,F,1.0,2.0,F,2.0,3.0,F,0.0,0.0,F,0.0,0.0,T,0.0,1.0,T,1.0,2.0,F,1.0,2.0,F,POINT (646028.5881062157 6883333.577325371),DSF_CHT_01_2022_02_DH_shp.zip,0x67fdd5426faf1935,MOMO,u,8,8,4,7,1,0,0,0.0,0.05,0
326.0,20220624_41_RELEVE,24-06-2022,jpdh,MOMO,911.0,0: 0 - 20 %,39,5,5,8.0,20,NON,,0.0,0.0,F,1.0,0.0,F,0.0,0.0,T,0.0,1.0,F,0.0,0.0,F,0.0,0.0,T,0.0,0.0,F,0.0,1.0,F,0.0,0.0,F,1.0,0.0,F,0.0,1.0,F,0.0,0.0,T,0.0,1.0,F,1.0,1.0,F,0.0,1.0,F,0.0,1.0,F,1.0,1.0,F,0.0,1.0,F,1.0,1.0,T,0.0,1.0,F,POINT (645448.681856594 6883128.77719306),DSF_CHT_01_2022_02_DH_shp.zip,0x515e76d78bafff6e,MOMO,a,91,7,13,0,0,0,0,0.0,0.0,0
327.0,20220624_41_RELEVE,24-06-2022,jpdh,MOMO,912.0,0: 0 - 20 %,32,5,5,12.0,20,NON,,0.0,0.0,F,0.0,1.0,F,1.0,0.0,F,0.0,0.0,F,1.0,1.0,F,1.0,2.0,F,1.0,2.0,F,1.0,2.0,F,1.0,2.0,F,1.0,0.0,T,1.0,0.0,T,0.0,0.0,F,0.0,0.0,F,1.0,2.0,F,1.0,2.0,F,0.0,1.0,F,0.0,1.0,F,1.0,0.0,F,0.0,0.0,F,0.0,0.0,F,POINT (645597.2273247921 6883315.513301557),DSF_CHT_01_2022_02_DH_shp.zip,0x9d943d45e53a684,MOMO,b,10,6,8,6,0,0,0,0.0,0.0,0
328.0,20220624_41_RELEVE,24-06-2022,jpdh,MOMO,913.0,3: 75 - 100 %,18,3,4,26.0,40,NON,,5.0,5.0,F,0.0,3.0,F,1.0,2.0,F,5.0,5.0,F,0.0,2.0,F,0.0,2.0,F,0.0,2.0,F,5.0,5.0,F,4.0,3.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,1.0,3.0,F,1.0,2.0,F,1.0,2.0,F,1.0,2.0,F,1.0,3.0,F,2.0,2.0,F,2.0,3.0,F,POINT (645832.1070054041 6883559.413166385),DSF_CHT_01_2022_02_DH_shp.zip,0x5ce6809d2b3d34fc,MOMO,a,6,0,0,7,5,0,8,0.4,0.65,1
329.0,20220624_41_RELEVE,24-06-2022,jpdh,MOMO,914.0,1: 20 -50 %,34,4,5,17.0,20,NON,,5.0,5.0,F,1.0,2.0,F,1.0,3.0,F,0.0,3.0,F,0.0,0.0,F,0.0,1.0,F,2.0,2.0,F,0.0,1.0,F,0.0,1.0,F,5.0,1.0,F,1.0,2.0,F,5.0,5.0,F,3.0,3.0,F,2.0,2.0,F,0.0,0.0,F,0.0,0.0,T,0.0,1.0,F,3.0,3.0,F,3.0,3.0,F,2.0,2.0,F,POINT (646033.4453522104 6882273.018269387),DSF_CHT_01_2022_02_DH_shp.zip,0x5aeb4f82aed45236,MOMO,u,100,3,4,2,5,3,3,0.3,0.55,1
330.0,20220624_41_RELEVE,24-06-2022,jpdh,MOMO,48.0,3: 75 - 100 %,15,2,3,35.0,20,NON,plantation proche et gros chêne,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,POINT (644519.0351411122 6881859.962038331),DSF_CHT_01_2022_02_DH_shp.zip,0xebd49f8787b873f3,MOMO,a,186,0,0,0,0,0,20,1.0,1.0,3
331.0,20220624_41_RELEVE,24-06-2022,jpdh,MOMO,915.0,3: 75 - 100 %,17,4,4,21.0,40,NON,,4.0,2.0,F,3.0,2.0,F,4.0,1.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,POINT (644631.920591682 6881518.096504547),DSF_CHT_01_2022_02_DH_shp.zip,0x12974a1a42d70962,MOMO,a,184,0,0,0,1,2,17,0.95,1.0,3
20.0,20220711_12_RELEVE,11-07-2022,sébastien,MEUDON,401.0,0: 0 - 20 %,24,5,5,20.0,20,NON,Assez dense et houppiers peu visibles,1.0,1.0,F,1.0,1.0,F,1.0,0.0,F,3.0,1.0,F,3.0,2.0,F,2.0,1.0,F,2.0,1.0,F,1.0,1.0,F,1.0,1.0,F,1.0,0.0,F,1.0,0.0,F,2.0,2.0,F,3.0,3.0,F,3.0,3.0,F,2.0,2.0,F,2.0,1.0,F,1.0,0.0,F,1.0,1.0,F,1.0,0.0,F,1.0,1.0,F,POINT (641152.1698960356 6857044.458742157),DSF_CHT_01_2022_02_sv_shp.zip,0xac400b42b1d99552,MEUDON,a,58,0,11,3,4,2,0,0.1,0.3,0
19.0,20220711_12_RELEVE,11-07-2022,sébastien,MEUDON,127.0,0: 0 - 20 %,25,4,4,20.0,20,NON,,1.0,1.0,F,1.0,1.0,T,3.0,2.0,F,1.0,1.0,F,2.0,1.0,T,0.0,0.0,F,2.0,2.0,F,3.0,4.0,F,2.0,4.0,F,1.0,0.0,F,1.0,0.0,F,0.0,0.0,F,1.0,1.0,T,1.0,2.0,F,1.0,1.0,F,1.0,1.0,F,4.0,4.0,F,4.0,4.0,F,3.0,4.0,F,3.0,2.0,F,POINT (640973.5089332318 6857072.858112681),DSF_CHT_01_2022_02_sv_shp.zip,0xf6bfaa49870f1be4,MEUDON,u,59,2,8,2,3,1,4,0.25,0.4,1
21.0,20220711_12_RELEVE,11-07-2022,sébastien,MEUDON,124.0,0: 0 - 20 %,22,4,5,20.0,20,NON,,1.0,0.0,F,2.0,1.0,F,2.0,1.0,F,1.0,0.0,F,1.0,0.0,F,2.0,3.0,F,2.0,2.0,F,1.0,1.0,F,2.0,3.0,F,3.0,3.0,F,3.0,2.0,F,2.0,2.0,F,2.0,2.0,F,2.0,1.0,F,3.0,3.0,F,2.0,1.0,F,1.0,1.0,F,1.0,0.0,F,1.0,1.0,F,3.0,4.0,F,POINT (641332.6090472348 6857356.9152998775),DSF_CHT_01_2022_02_sv_shp.zip,0x7119947ef6955ac6,MEUDON,u,53,0,7,4,6,2,1,0.15,0.45,0
22.0,20220711_12_RELEVE,11-07-2022,sébastien,MEUDON,121.0,2: 50 - 75 %,15,3,5,40.0,40,NON,,3.0,4.0,F,4.0,3.0,F,5.0,5.0,F,4.0,3.0,F,3.0,3.0,F,3.0,2.0,F,3.0,3.0,F,4.0,4.0,F,4.0,3.0,F,5.0,5.0,F,5.0,5.0,F,4.0,3.0,F,3.0,4.0,F,5.0,5.0,F,3.0,2.0,F,4.0,2.0,F,3.0,3.0,F,3.0,4.0,F,4.0,3.0,F,2.0,2.0,F,POINT (641796.0226317731 6857642.760748709),DSF_CHT_01_2022_02_sv_shp.zip,0x6d597df0033182f3,MEUDON,a,56,0,0,0,3,4,13,0.85,1.0,3
9.0,20220616_8_RELEVE,16-06-2022,sébastien,MEUDON,144.0,1: 20 -50 %,29,5,5,15.0,20,NON,,1.0,1.0,T,1.0,1.0,T,2.0,1.0,T,3.0,2.0,F,5.0,5.0,F,3.0,2.0,T,2.0,2.0,T,3.0,3.0,T,2.0,1.0,F,4.0,3.0,F,1.0,1.0,F,2.0,3.0,F,2.0,2.0,F,2.0,2.0,T,2.0,1.0,F,2.0,1.0,F,2.0,1.0,F,2.0,1.0,T,3.0,2.0,F,2.0,1.0,T,POINT (644581.0745314495 6854885.598628603),DSF_CHT_01_2022_02_vs_shp.zip,0xb4c47160c6f4dcd0,MEUDON,a,14,0,3,7,7,1,2,0.15,0.5,0
8.0,20220616_7_RELEVE,16-06-2022,sébastien,MEUDON,141.0,2: 50 - 75 %,21,3,4,20.0,40,NON,,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,2.0,2.0,F,3.0,2.0,F,5.0,5.0,F,1.0,1.0,F,1.0,1.0,F,2.0,1.0,F,2.0,2.0,T,1.0,1.0,F,5.0,5.0,F,2.0,1.0,F,2.0,1.0,F,2.0,1.0,F,2.0,1.0,F,2.0,1.0,F,2.0,1.0,F,2.0,1.0,F,POINT (644336.4217030825 6855093.396262657),DSF_CHT_01_2022_02_vs_shp.zip,0x6244e06f440eed9a,MEUDON,a,13,0,3,8,3,0,6,0.3,0.45,1
